cycle,entropy,record_low,lcc_size,avg_degree,phase,rule_count,avg_rule_strength,max_rule_strength
57000,0.25483021883367896,0.25483021883367896,256,21.2734375,CRUNCH,1715,1.1996815757989807,1.199999999999998
58000,0.2511357734102318,0.2511357734102318,256,21.5,CRUNCH,1736,1.1997294853043852,1.199999999999998
59000,0.19352964569879594,0.19352964569879594,256,21.71875,CRUNCH,1757,1.1999781590159104,1.199999999999998
60000,0.19168298277238605,0.19168298277238605,256,21.96875,CRUNCH,1777,1.1999802948265132,1.199999999999998
61000,0.1884712760678944,0.1884712760678944,256,22.25,CRUNCH,1803,1.1999985812070626,1.199999999999998
62000,0.18769070066963767,0.18769070066963767,256,22.359375,CRUNCH,1815,1.1999984639089607,1.199999999999998
63000,0.1728120545116777,0.1728120545116777,256,22.703125,CRUNCH,1844,1.199674749327289,1.199999999999998
64000,0.17223891866745544,0.17223891866745544,256,22.890625,CRUNCH,1862,1.1999993116638346,1.199999999999998
65000,0.17183926371800018,0.17183926371800018,256,23.1484375,CRUNCH,1886,1.1997484320007399,1.199999999999998
66000,0.16970694690150698,0.16970694690150698,256,23.359375,CRUNCH,1904,1.1999961742589462,1.199999999999998
67000,0.16806635257457608,0.1680464617695195,256,23.65625,CRUNCH,1925,1.199918825909382,1.199999999999998
68000,0.16802657096446294,0.16802657096446294,256,23.8515625,CRUNCH,1942,1.1999892861787624,1.199999999999998
69000,0.16802657096446294,0.16802657096446294,256,24.1015625,CRUNCH,1964,1.199957101668559,1.199999999999998
70000,0.16802657096446294,0.16802657096446294,256,24.2734375,CRUNCH,1983,1.1998253995095751,1.199999999999998
71000,0.1668736250571404,0.1668736250571404,256,24.546875,CRUNCH,2008,1.1998944734520038,1.199999999999998
72000,0.1664846916681375,0.1664846916681375,256,24.6875,CRUNCH,2021,1.1999577854546046,1.199999999999998
73000,0.16422846959561227,0.16422846959561227,256,25.0,CRUNCH,2044,1.1999993479317443,1.199999999999998
74000,0.16432954865428792,0.16422846959561227,256,25.203125,CRUNCH,2059,1.1999999891650475,1.199999999999998
75000,0.12801260427817457,0.12801260427817457,256,25.4453125,CRUNCH,2079,1.1999076259658643,1.199999999999998
76000,0.1276772852790647,0.1276772852790647,256,25.7734375,CRUNCH,2101,1.1999897450705426,1.199999999999998
77000,0.12746024716546198,0.12746024716546198,256,25.890625,CRUNCH,2115,1.1999782555940561,1.199999999999998
78000,0.12717016150237992,0.12717016150237992,256,26.109375,CRUNCH,2131,1.199781545629275,1.199999999999998
79000,0.12548896557784542,0.12548896557784542,256,26.3203125,CRUNCH,2155,1.1999136590635213,1.199999999999998
80000,0.12548896557784542,0.12548896557784542,256,26.5390625,CRUNCH,2173,1.199991161125831,1.199999999999998
81000,0.12439210086470034,0.12439210086470034,256,26.703125,CRUNCH,2184,1.1999998501980877,1.199999999999998
82000,0.12439210086470034,0.12439210086470034,256,26.765625,CRUNCH,2192,1.1999999999915647,1.199999999999998
83000,0.12439210086470034,0.12439210086470034,256,26.9375,CRUNCH,2208,1.1999754729398442,1.199999999999998
84000,0.10053407569020552,0.10053407569020552,256,27.078125,CRUNCH,2221,1.1998133571668304,1.199999999999998
85000,0.10072257310783574,0.10033471239024833,256,27.2421875,CRUNCH,2237,1.199999889301995,1.199999999999998
86000,0.09738481018267509,0.09738481018267509,256,27.4296875,CRUNCH,2254,1.1999994994957854,1.199999999999998
87000,0.09704212986930914,0.09704212986930914,256,27.6328125,CRUNCH,2274,1.1999130533320232,1.199999999999998
88000,0.0801225706254319,0.0770764660503653,256,27.8984375,CRUNCH,2295,1.1985480651412992,1.199999999999998
89000,0.05964438882054254,0.047788131170540524,256,28.1875,CRUNCH,2320,1.1998137287836603,1.199999999999998
90000,0.05938864771930305,0.047788131170540524,256,28.390625,CRUNCH,2340,1.1999591109116685,1.199999999999998
91000,0.059368756914246465,0.047788131170540524,256,28.5625,CRUNCH,2360,1.199687010762848,1.199999999999998
92000,0.059368756914246465,0.047788131170540524,256,28.7890625,CRUNCH,2378,1.1997853233595568,1.199999999999998
93000,0.059368756914246465,0.047788131170540524,256,28.9375,CRUNCH,2391,1.199931178970197,1.199999999999998
94000,0.059368756914246465,0.047788131170540524,256,29.125,CRUNCH,2408,1.1999777328202204,1.199999999999998
95000,0.059368756914246465,0.047788131170540524,256,29.296875,CRUNCH,2424,1.1999879025438693,1.199999999999998
96000,0.0592848509471551,0.047788131170540524,256,29.4765625,CRUNCH,2441,1.199798373509344,1.199999999999998
97000,0.0592848509471551,0.047788131170540524,256,29.5703125,CRUNCH,2453,1.1999799303671954,1.199999999999998
98000,0.0592848509471551,0.047788131170540524,256,29.7421875,CRUNCH,2467,1.1999652777362126,1.199999999999998
99000,0.0592848509471551,0.047788131170540524,256,29.9296875,CRUNCH,2484,1.19999999300893,1.199999999999998
100000,0.05739076400593581,0.047788131170540524,256,30.0859375,CRUNCH,2498,1.1998917622179575,1.199999999999998
101000,0.05739076400593581,0.047788131170540524,256,30.2890625,CRUNCH,2514,1.199504512010322,1.199999999999998
102000,0.05739076400593581,0.047788131170540524,256,30.4296875,CRUNCH,2528,1.1997305537136478,1.199999999999998
103000,0.05739076400593581,0.047788131170540524,256,30.6796875,CRUNCH,2549,1.199827346559432,1.199999999999998
104000,0.0442632053161508,0.0442632053161508,256,30.828125,CRUNCH,2563,1.1999150201229047,1.199999999999998
105000,0.04403375769613747,0.04403375769613747,256,30.9453125,CRUNCH,2578,1.1999845899783186,1.199999999999998
106000,0.04403375769613747,0.04403375769613747,256,31.1015625,CRUNCH,2593,1.1997642046819723,1.199999999999998
107000,0.04403375769613747,0.04403375769613747,256,31.265625,CRUNCH,2608,1.1999342536618167,1.199999999999998
108000,0.04403375769613747,0.04403375769613747,256,31.390625,CRUNCH,2621,1.1999939527525594,1.199999999999998
109000,0.044013866891080874,0.044013866891080874,256,31.59375,CRUNCH,2638,1.1999997719377242,1.199999999999998
